Order,Count,Sum,Mean,SD,Median,Max,Min
Acidimicrobiales,5,9725,1945,1521.01232736622,1812,4251,393
Gemmatimonadales,2,9014,4507,1603.71817973109,4507,5641,3373
Thermotogales,3,8983,2994.33333333333,4131.14588623221,1160,7725,98
Deferribacterales,3,8443,2814.33333333333,4036.38827831681,924,7449,70
Caulobacterales,2,6227,3113.5,4285.77420077166,3113.5,6144,83
Cardiobacteriales,1,5805,5805,0,5805,5805,5805
Phycisphaerales,1,5776,5776,0,5776,5776,5776
Catenulisporales,1,5084,5084,0,5084,5084,5084
Eggerthellales,5,4471,894.2,716.475889336131,535,1732,151
Nautiliales,3,3372,1124,877.985762982521,1001,2057,314
Bacteroidetes,3,3308,1102.66666666667,1369.36128663451,443,2677,188
Methylophilales,3,3048,1016,1035.81417252324,622,2191,235
Kiloniellales,1,3002,3002,0,3002,3002,3002
Nitrospinales,1,2326,2326,0,2326,2326,2326
Salinisphaerales,1,2319,2319,0,2319,2319,2319
Pleurocapsales,5,2289,457.8,193.418458271179,430,698,219
Glycomycetales,2,2280,1140,1494.82373542836,1140,2197,83
Rubrobacterales,1,2269,2269,0,2269,2269,2269
Orbales,1,2186,2186,0,2186,2186,2186
Holophagales,1,2071,2071,0,2071,2071,2071
Ardenticatenales,1,2020,2020,0,2020,2020,2020
Desulfarculales,2,1764,882,366.281312654632,882,1141,623
Syntrophobacterales,2,1734,867,830.143361113007,867,1454,280
Kineosporiales,2,1518,759,41.0121933088198,759,788,730
Solibacterales,2,1279,639.5,260.922402257836,639.5,824,455
Fimbriimonadales,1,1242,1242,0,1242,1242,1242
Chitinispirillales,1,1101,1101,0,1101,1101,1101
Methylacidiphilales,1,1068,1068,0,1068,1068,1068
Nakamurellales,1,977,977,0,977,977,977
Actinopolysporales,1,942,942,0,942,942,942
Halanaerobiales,3,840,280,289.314707541805,119,614,107
Nitriliruptorales,1,806,806,0,806,806,806
Gloeobacterales,1,745,745,0,745,745,745
Dehalococcoidales,1,527,527,0,527,527,527
Jiangellales,1,495,495,0,495,495,495
Kosmotogales,2,453,226.5,38.8908729652601,226.5,254,199
Haloplasmatales,1,349,349,0,349,349,349
Magnetococcales,1,346,346,0,346,346,346
Caldisericales,1,344,344,0,344,344,344
Desulfurellales,1,340,340,0,340,340,340
Acidaminococcales,2,336,168,45.254833995939,168,200,136
Kordiimonadales,1,278,278,0,278,278,278
Fibrobacterales,1,225,225,0,225,225,225
Lentisphaerales,1,199,199,0,199,199,199
Gallionellales,1,163,163,0,163,163,163
Chrysiogenales,1,87,87,0,87,87,87
Balneolales,2,86,43,1.4142135623731,43,44,42
Sneathiellales,1,79,79,0,79,79,79
Limnochordales,1,51,51,0,51,51,51
