Genus,Count,Sum,Mean,SD,Median,Max,Min
Pseudoclavibacter,1,3565,3565,0,3565,3565,3565
Methylopila,1,3525,3525,0,3525,3525,3525
Zobellia,1,3501,3501,0,3501,3501,3501
Nostoc,1,3493,3493,0,3493,3493,3493
Modestobacter,1,3484,3484,0,3484,3484,3484
Acetobacterium,1,3405,3405,0,3405,3405,3405
Lampropedia,1,3405,3405,0,3405,3405,3405
Trichormus,1,3391,3391,0,3391,3391,3391
Gemmatirosa,1,3373,3373,0,3373,3373,3373
Cosenzaea,1,3359,3359,0,3359,3359,3359
Actinokineospora,1,3295,3295,0,3295,3295,3295
Viridibacillus,1,3271,3271,0,3271,3271,3271
Saccharopolyspora,1,3250,3250,0,3250,3250,3250
Nonlabens,1,3241,3241,0,3241,3241,3241
Desulfonatronum,1,3218,3218,0,3218,3218,3218
Teredinibacter,1,3211,3211,0,3211,3211,3211
Phycicoccus,1,3186,3186,0,3186,3186,3186
Butyricicoccus,1,3172,3172,0,3172,3172,3172
Tetragenococcus,1,3157,3157,0,3157,3157,3157
Roseiflexus,1,3148,3148,0,3148,3148,3148
Plesiocystis,1,3146,3146,0,3146,3146,3146
Jonesia,1,3108,3108,0,3108,3108,3108
Serinicoccus,1,3084,3084,0,3084,3084,3084
Algiphilus,1,3077,3077,0,3077,3077,3077
Crinalium,1,3075,3075,0,3075,3075,3075
Intrasporangium,1,3023,3023,0,3023,3023,3023
Kiloniella,1,3002,3002,0,3002,3002,3002
Thioclava,1,2972,2972,0,2972,2972,2972
Aphanocapsa,1,2967,2967,0,2967,2967,2967
Desulfobulbus,1,2965,2965,0,2965,2965,2965
Arsenophonus,1,2940,2940,0,2940,2940,2940
Thioflavicoccus,1,2930,2930,0,2930,2930,2930
Hahella,1,2914,2914,0,2914,2914,2914
Hapalosiphon,1,2860,2860,0,2860,2860,2860
Enteractinococcus,1,2807,2807,0,2807,2807,2807
Rufibacter,1,2803,2803,0,2803,2803,2803
Ferrimonas,1,2797,2797,0,2797,2797,2797
Mastigocoleus,1,2797,2797,0,2797,2797,2797
Microbispora,1,2735,2735,0,2735,2735,2735
Megamonas,1,2731,2731,0,2731,2731,2731
Olleya,1,2702,2702,0,2702,2702,2702
Rhodothermus,1,2677,2677,0,2677,2677,2677
Robiginitomaculum,1,2654,2654,0,2654,2654,2654
Weeksella,1,2627,2627,0,2627,2627,2627
Crenobacter,1,2624,2624,0,2624,2624,2624
Spirochaeta,1,2587,2587,0,2587,2587,2587
Saccharomonospora,1,2571,2571,0,2571,2571,2571
Marinobacterium,1,2552,2552,0,2552,2552,2552
Singulisphaera,1,2545,2545,0,2545,2545,2545
Flexibacter,1,2522,2522,0,2522,2522,2522
Thalassospira,1,2512,2512,0,2512,2512,2512
Nitrobacter,1,2505,2505,0,2505,2505,2505
Pontibacter,1,2495,2495,0,2495,2495,2495
Hydrocarboniphaga,1,2486,2486,0,2486,2486,2486
Microchaete,1,2482,2482,0,2482,2482,2482
Terrisporobacter,1,2470,2470,0,2470,2470,2470
Oceanicola,1,2436,2436,0,2436,2436,2436
Cellulosilyticum,1,2427,2427,0,2427,2427,2427
Lachnobacterium,1,2393,2393,0,2393,2393,2393
Verrucosispora,1,2367,2367,0,2367,2367,2367
Terracidiphilus,1,2330,2330,0,2330,2330,2330
Nitrospina,1,2326,2326,0,2326,2326,2326
Thermonema,1,2326,2326,0,2326,2326,2326
Salinisphaera,1,2319,2319,0,2319,2319,2319
Lelliottia,1,2297,2297,0,2297,2297,2297
Spirillospora,1,2272,2272,0,2272,2272,2272
Rubrobacter,1,2269,2269,0,2269,2269,2269
Domibacillus,1,2248,2248,0,2248,2248,2248
Thermoanaerobaculum,1,2201,2201,0,2201,2201,2201
Stackebrandtia,1,2197,2197,0,2197,2197,2197
Knoellia,1,2192,2192,0,2192,2192,2192
Methylobacillus,1,2191,2191,0,2191,2191,2191
Gilliamella,1,2186,2186,0,2186,2186,2186
Streptosporangium,1,2183,2183,0,2183,2183,2183
Aminobacter,1,2176,2176,0,2176,2176,2176
Stigmatella,1,2154,2154,0,2154,2154,2154
Aneurinibacillus,1,2149,2149,0,2149,2149,2149
Levyella,1,2139,2139,0,2139,2139,2139
Cyclobacterium,1,2136,2136,0,2136,2136,2136
Agreia,1,2122,2122,0,2122,2122,2122
Emticicia,1,2122,2122,0,2122,2122,2122
Chelatococcus,1,2108,2108,0,2108,2108,2108
Salsuginibacillus,1,2108,2108,0,2108,2108,2108
Actinosynnema,1,2099,2099,0,2099,2099,2099
Zymomonas,1,2099,2099,0,2099,2099,2099
Thiomicrospira,1,2077,2077,0,2077,2077,2077
Geothrix,1,2071,2071,0,2071,2071,2071
Lebetimonas,1,2057,2057,0,2057,2057,2057
Pirellula,1,2049,2049,0,2049,2049,2049
Dactylosporangium,1,2045,2045,0,2045,2045,2045
Sulfitobacter,1,2030,2030,0,2030,2030,2030
Ardenticatena,1,2020,2020,0,2020,2020,2020
Planctomyces,1,2009,2009,0,2009,2009,2009
Geofilum,1,1970,1970,0,1970,1970,1970
Sporosarcina,1,1962,1962,0,1962,1962,1962
Kluyvera,1,1958,1958,0,1958,1958,1958
Altererythrobacter,1,1955,1955,0,1955,1955,1955
Thiorhodovibrio,1,1954,1954,0,1954,1954,1954
Conexibacter,1,1946,1946,0,1946,1946,1946
Caloramator,1,1917,1917,0,1917,1917,1917
Cobetia,1,1894,1894,0,1894,1894,1894
Turicella,1,1891,1891,0,1891,1891,1891
Prosthecomicrobium,1,1846,1846,0,1846,1846,1846
Zhouia,1,1842,1842,0,1842,1842,1842
Halioglobus,1,1827,1827,0,1827,1827,1827
Ilumatobacter,1,1812,1812,0,1812,1812,1812
Microvirgula,1,1782,1782,0,1782,1782,1782
Ornithinimicrobium,1,1768,1768,0,1768,1768,1768
Chitiniphilus,1,1764,1764,0,1764,1764,1764
Bulleidia,1,1752,1752,0,1752,1752,1752
Alkanindiges,1,1747,1747,0,1747,1747,1747
Salinicoccus,1,1744,1744,0,1744,1744,1744
Eggerthella,1,1732,1732,0,1732,1732,1732
Methylobacter,1,1717,1717,0,1717,1717,1717
Smaragdicoccus,1,1711,1711,0,1711,1711,1711
Saprospira,1,1707,1707,0,1707,1707,1707
Rouxiella,1,1703,1703,0,1703,1703,1703
Uliginosibacterium,1,1684,1684,0,1684,1684,1684
Fervidicella,1,1673,1673,0,1673,1673,1673
Spiribacter,1,1661,1661,0,1661,1661,1661
Halocynthiibacter,1,1651,1651,0,1651,1651,1651
Catenuloplanes,1,1644,1644,0,1644,1644,1644
Solibacillus,1,1632,1632,0,1632,1632,1632
Rubritepida,1,1603,1603,0,1603,1603,1603
Flavisolibacter,1,1590,1590,0,1590,1590,1590
Slackia,1,1590,1590,0,1590,1590,1590
Saccharicrinis,1,1574,1574,0,1574,1574,1574
Jeotgalicoccus,1,1548,1548,0,1548,1548,1548
Alishewanella,1,1543,1543,0,1543,1543,1543
Pelosinus,1,1541,1541,0,1541,1541,1541
Tateyamaria,1,1535,1535,0,1535,1535,1535
Oceanibaculum,1,1533,1533,0,1533,1533,1533
Bacteriovorax,1,1520,1520,0,1520,1520,1520
Carboxydothermus,1,1514,1514,0,1514,1514,1514
Advenella,1,1505,1505,0,1505,1505,1505
Falsirhodobacter,1,1503,1503,0,1503,1503,1503
Desulfobacca,1,1454,1454,0,1454,1454,1454
Crocinitomix,1,1445,1445,0,1445,1445,1445
Rahnella,1,1429,1429,0,1429,1429,1429
Acidocella,1,1423,1423,0,1423,1423,1423
Citromicrobium,1,1423,1423,0,1423,1423,1423
Azorhizobium,1,1417,1417,0,1417,1417,1417
Thermicanus,1,1406,1406,0,1406,1406,1406
Pleomorphomonas,1,1376,1376,0,1376,1376,1376
Sulfurihydrogenibium,1,1368,1368,0,1368,1368,1368
Geminocystis,1,1344,1344,0,1344,1344,1344
Geminicoccus,1,1343,1343,0,1343,1343,1343
Nesterenkonia,1,1343,1343,0,1343,1343,1343
Saccharibacillus,1,1326,1326,0,1326,1326,1326
Cetobacterium,1,1306,1306,0,1306,1306,1306
Sandarakinorhabdus,1,1290,1290,0,1290,1290,1290
Croceicoccus,1,1286,1286,0,1286,1286,1286
Silanimonas,1,1284,1284,0,1284,1284,1284
Terracoccus,1,1282,1282,0,1282,1282,1282
Nafulsella,1,1279,1279,0,1279,1279,1279
Desulfovermiculus,1,1259,1259,0,1259,1259,1259
Peptoclostridium,1,1258,1258,0,1258,1258,1258
Ruania,1,1244,1244,0,1244,1244,1244
Fimbriimonas,1,1242,1242,0,1242,1242,1242
Plantibacter,1,1241,1241,0,1241,1241,1241
Flavihumibacter,1,1233,1233,0,1233,1233,1233
Aestuariimicrobium,1,1211,1211,0,1211,1211,1211
Defluviimonas,1,1203,1203,0,1203,1203,1203
Mycetocola,1,1191,1191,0,1191,1191,1191
Vagococcus,1,1187,1187,0,1187,1187,1187
Actibacterium,1,1183,1183,0,1183,1183,1183
Terrimonas,1,1171,1171,0,1171,1171,1171
Thermosipho,1,1160,1160,0,1160,1160,1160
Sandaracinus,1,1149,1149,0,1149,1149,1149
Desulfocarbo,1,1141,1141,0,1141,1141,1141
Tatlockia,1,1141,1141,0,1141,1141,1141
Dolosigranulum,1,1125,1125,0,1125,1125,1125
Segetibacter,1,1125,1125,0,1125,1125,1125
Elioraea,1,1123,1123,0,1123,1123,1123
Congregibacter,1,1112,1112,0,1112,1112,1112
Actinomycetospora,1,1104,1104,0,1104,1104,1104
Chitinispirillum,1,1101,1101,0,1101,1101,1101
Anaerovibrio,1,1097,1097,0,1097,1097,1097
Wenxinia,1,1097,1097,0,1097,1097,1097
Defluviitoga,1,1095,1095,0,1095,1095,1095
Methylacidiphilum,1,1068,1068,0,1068,1068,1068
Desulfatirhabdium,1,1067,1067,0,1067,1067,1067
Thermoactinomyces,1,1063,1063,0,1063,1063,1063
Tistrella,1,1056,1056,0,1056,1056,1056
Sulfobacillus,1,1054,1054,0,1054,1054,1054
Williamsia,1,1050,1050,0,1050,1050,1050
Blastomonas,1,1048,1048,0,1048,1048,1048
Desulfonatronovibrio,1,1045,1045,0,1045,1045,1045
Bibersteinia,1,1041,1041,0,1041,1041,1041
Sinomonas,1,1037,1037,0,1037,1037,1037
Streptobacillus,1,1031,1031,0,1031,1031,1031
Perlucidibaca,1,1030,1030,0,1030,1030,1030
Thermodesulfatator,1,1029,1029,0,1029,1029,1029
Noviherbaspirillum,1,1012,1012,0,1012,1012,1012
Caminibacter,1,1001,1001,0,1001,1001,1001
Dokdonella,1,986,986,0,986,986,986
Azonexus,1,980,980,0,980,980,980
Sharpea,1,980,980,0,980,980,980
Nakamurella,1,977,977,0,977,977,977
Roseivivax,1,965,965,0,965,965,965
Dorea,1,961,961,0,961,961,961
Acidobacterium,1,955,955,0,955,955,955
Haliscomenobacter,1,945,945,0,945,945,945
Actinopolyspora,1,942,942,0,942,942,942
Vulgatibacter,1,942,942,0,942,942,942
Granulicatella,1,939,939,0,939,939,939
Starkeya,1,926,926,0,926,926,926
Mucispirillum,1,924,924,0,924,924,924
Isosphaera,1,918,918,0,918,918,918
Basilea,1,915,915,0,915,915,915
Hallella,1,908,908,0,908,908,908
Thalassobaculum,1,904,904,0,904,904,904
Oribacterium,1,901,901,0,901,901,901
Kibdelosporangium,1,887,887,0,887,887,887
Ilyobacter,1,878,878,0,878,878,878
Neorickettsia,1,878,878,0,878,878,878
Simonsiella,1,875,875,0,875,875,875
Arhodomonas,1,873,873,0,873,873,873
Martelella,1,873,873,0,873,873,873
Senegalimassilia,1,871,871,0,871,871,871
Rhodonellum,1,866,866,0,866,866,866
Thiocapsa,1,854,854,0,854,854,854
Desulfobacter,1,842,842,0,842,842,842
Dongia,1,842,842,0,842,842,842
Haloferula,1,842,842,0,842,842,842
Segniliparus,1,837,837,0,837,837,837
Paucisalibacillus,1,833,833,0,833,833,833
Ferrimicrobium,1,823,823,0,823,823,823
Kyrpidia,1,816,816,0,816,816,816
Oligotropha,1,816,816,0,816,816,816
Methyloceanibacter,1,807,807,0,807,807,807
Nitriliruptor,1,806,806,0,806,806,806
Halobacillus,1,805,805,0,805,805,805
Marinagarivorans,1,803,803,0,803,803,803
Salinimicrobium,1,803,803,0,803,803,803
Peptostreptococcus,1,800,800,0,800,800,800
Kineococcus,1,788,788,0,788,788,788
Micavibrio,1,781,781,0,781,781,781
Sulfuricurvum,1,779,779,0,779,779,779
Pelagibacterium,1,770,770,0,770,770,770
Chlorobaculum,1,758,758,0,758,758,758
Paludibacterium,1,751,751,0,751,751,751
Gloeobacter,1,745,745,0,745,745,745
Jonquetella,1,742,742,0,742,742,742
Coprococcus,1,740,740,0,740,740,740
Faecalibaculum,1,738,738,0,738,738,738
Dialister,1,736,736,0,736,736,736
Trueperella,1,734,734,0,734,734,734
Kineosporia,1,730,730,0,730,730,730
Thiocystis,1,730,730,0,730,730,730
Vitellibacter,1,730,730,0,730,730,730
Pseudophaeobacter,1,723,723,0,723,723,723
Agrococcus,1,720,720,0,720,720,720
Blastochloris,1,710,710,0,710,710,710
Sebaldella,1,709,709,0,709,709,709
Eikenella,1,708,708,0,708,708,708
Flexilinea,1,708,708,0,708,708,708
Xenococcus,1,698,698,0,698,698,698
Hamadaea,1,694,694,0,694,694,694
Risungbinella,1,688,688,0,688,688,688
Citricoccus,1,671,671,0,671,671,671
Pilimelia,1,670,670,0,670,670,670
Solitalea,1,665,665,0,665,665,665
Granulicella,1,658,658,0,658,658,658
Methylococcus,1,652,652,0,652,652,652
Tyzzerella,1,648,648,0,648,648,648
Humibacter,1,643,643,0,643,643,643
Thermopetrobacter,1,627,627,0,627,627,627
Pseudolabrys,1,624,624,0,624,624,624
Desulfarculus,1,623,623,0,623,623,623
Methylotenera,1,622,622,0,622,622,622
Effusibacillus,1,618,618,0,618,618,618
Salinarimonas,1,617,617,0,617,617,617
Orenia,1,614,614,0,614,614,614
Pyrinomonas,1,607,607,0,607,607,607
Kribbella,1,606,606,0,606,606,606
Myxosarcina,1,601,601,0,601,601,601
Thermosinus,1,594,594,0,594,594,594
Sulfurospirillum,1,591,591,0,591,591,591
Kinetoplastibacterium,1,590,590,0,590,590,590
Opitutus,1,585,585,0,585,585,585
Pyramidobacter,1,583,583,0,583,583,583
Alkalilimnicola,1,580,580,0,580,580,580
Arsukibacterium,1,574,574,0,574,574,574
Moorella,1,560,560,0,560,560,560
Virgibacillus,1,545,545,0,545,545,545
Maribius,1,541,541,0,541,541,541
Thermanaerovibrio,1,541,541,0,541,541,541
Polycyclovorans,1,539,539,0,539,539,539
Cryptobacterium,1,535,535,0,535,535,535
Pseudobacteroides,1,528,528,0,528,528,528
Dehalococcoides,1,527,527,0,527,527,527
Streptomonospora,1,527,527,0,527,527,527
Isoptericola,1,520,520,0,520,520,520
Polynucleobacter,1,520,520,0,520,520,520
Tolumonas,1,520,520,0,520,520,520
Helcococcus,1,519,519,0,519,519,519
Thermocrispum,1,519,519,0,519,519,519
Meganema,1,515,515,0,515,515,515
Sporichthya,1,504,504,0,504,504,504
Sediminibacter,1,498,498,0,498,498,498
Jiangella,1,495,495,0,495,495,495
Thermovirga,1,495,495,0,495,495,495
Methylosarcina,1,492,492,0,492,492,492
Fructobacillus,1,488,488,0,488,488,488
Stappia,1,484,484,0,484,484,484
Gemmobacter,1,468,468,0,468,468,468
Thermobrachium,1,467,467,0,467,467,467
Promicromonospora,1,466,466,0,466,466,466
Denitrobacterium,1,463,463,0,463,463,463
Oleiphilus,1,463,463,0,463,463,463
Yaniella,1,461,461,0,461,461,461
Bryobacter,1,455,455,0,455,455,455
Catonella,1,453,453,0,453,453,453
Symbiobacterium,1,450,450,0,450,450,450
Propionicicella,1,445,445,0,445,445,445
Desulfobacula,1,444,444,0,444,444,444
Salisaeta,1,443,443,0,443,443,443
Thermobacillus,1,436,436,0,436,436,436
Zooshikella,1,435,435,0,435,435,435
Amorphus,1,431,431,0,431,431,431
Stanieria,1,430,430,0,430,430,430
Halorhodospira,1,429,429,0,429,429,429
Asaia,1,419,419,0,419,419,419
Silvibacterium,1,413,413,0,413,413,413
Ketogulonicigenium,1,412,412,0,412,412,412
Dermatophilus,1,408,408,0,408,408,408
Stomatobaculum,1,407,407,0,407,407,407
Fluoribacter,1,406,406,0,406,406,406
Schleiferia,1,403,403,0,403,403,403
Lentimicrobium,1,396,396,0,396,396,396
Methylophaga,1,396,396,0,396,396,396
Kosakonia,1,394,394,0,394,394,394
Acidimicrobium,1,393,393,0,393,393,393
Tessaracoccus,1,392,392,0,392,392,392
Halotalea,1,391,391,0,391,391,391
Pseudorhodobacter,1,387,387,0,387,387,387
Paenirhodobacter,1,385,385,0,385,385,385
Gulosibacter,1,381,381,0,381,381,381
Marinimicrobium,1,381,381,0,381,381,381
Pedosphaera,1,378,378,0,378,378,378
Chelativorans,1,377,377,0,377,377,377
Mogibacterium,1,370,370,0,370,370,370
Porticoccus,1,369,369,0,369,369,369
Gallaecimonas,1,367,367,0,367,367,367
Aestuariivita,1,362,362,0,362,362,362
Thermaerobacter,1,362,362,0,362,362,362
Gimesia,1,357,357,0,357,357,357
Marinilabilia,1,351,351,0,351,351,351
Haloplasma,1,349,349,0,349,349,349
Nisaea,1,347,347,0,347,347,347
Magnetococcus,1,346,346,0,346,346,346
Caldisericum,1,344,344,0,344,344,344
Methylohalobius,1,342,342,0,342,342,342
Pleurocapsa,1,341,341,0,341,341,341
Actinopolymorpha,1,340,340,0,340,340,340
Draconibacterium,1,340,340,0,340,340,340
Hippea,1,340,340,0,340,340,340
Terrimicrobium,1,332,332,0,332,332,332
Demetria,1,324,324,0,324,324,324
Euryhalocaulis,1,324,324,0,324,324,324
Leeia,1,324,324,0,324,324,324
Marivirga,1,324,324,0,324,324,324
Pseudaminobacter,1,322,322,0,322,322,322
Synergistes,1,320,320,0,320,320,320
Chitinibacter,1,316,316,0,316,316,316
Nautilia,1,314,314,0,314,314,314
Intestinimonas,1,312,312,0,312,312,312
Sciscionella,1,306,306,0,306,306,306
Lunatimonas,1,305,305,0,305,305,305
Desulfomicrobium,1,303,303,0,303,303,303
Franconibacter,1,302,302,0,302,302,302
Pelodictyon,1,301,301,0,301,301,301
Thiorhodospira,1,300,300,0,300,300,300
Johnsonella,1,298,298,0,298,298,298
Salegentibacter,1,297,297,0,297,297,297
Arcticibacter,1,291,291,0,291,291,291
Methylocella,1,288,288,0,288,288,288
Magnetospira,1,286,286,0,286,286,286
Syntrophobacter,1,280,280,0,280,280,280
Jeotgalibacillus,1,279,279,0,279,279,279
Kordiimonas,1,278,278,0,278,278,278
Beggiatoa,1,276,276,0,276,276,276
Rudanella,1,268,268,0,268,268,268
Solobacterium,1,267,267,0,267,267,267
Pseudobutyrivibrio,1,265,265,0,265,265,265
Vitreoscilla,1,260,260,0,260,260,260
Dethiobacter,1,255,255,0,255,255,255
Jejuia,1,254,254,0,254,254,254
Kosmotoga,1,254,254,0,254,254,254
Echinicola,1,251,251,0,251,251,251
Pimelobacter,1,251,251,0,251,251,251
Actinotalea,1,249,249,0,249,249,249
Criblamydia,1,249,249,0,249,249,249
Fibrella,1,249,249,0,249,249,249
Fulvimarina,1,244,244,0,244,244,244
Cyanobacterium,1,241,241,0,241,241,241
Halobacteriovorax,1,240,240,0,240,240,240
Rubinisphaera,1,238,238,0,238,238,238
Mitsuokella,1,233,233,0,233,233,233
Gramella,1,229,229,0,229,229,229
Turneriella,1,229,229,0,229,229,229
Fibrobacter,1,225,225,0,225,225,225
Thioploca,1,222,222,0,222,222,222
Neorhizobium,1,221,221,0,221,221,221
Aliterella,1,219,219,0,219,219,219
Mangrovibacter,1,218,218,0,218,218,218
Alloiococcus,1,214,214,0,214,214,214
Leucothrix,1,214,214,0,214,214,214
Parvibaculum,1,213,213,0,213,213,213
Actinotignum,1,211,211,0,211,211,211
Oceanithermus,1,210,210,0,210,210,210
Flexithrix,1,209,209,0,209,209,209
Zymobacter,1,208,208,0,208,208,208
Caldibacillus,1,206,206,0,206,206,206
Kandleria,1,205,205,0,205,205,205
Catelliglobosispora,1,201,201,0,201,201,201
Phascolarctobacterium,1,200,200,0,200,200,200
Roseibium,1,200,200,0,200,200,200
Dactylococcopsis,1,199,199,0,199,199,199
Lentisphaera,1,199,199,0,199,199,199
Mesotoga,1,199,199,0,199,199,199
Anaerofustis,1,195,195,0,195,195,195
Haematospirillum,1,195,195,0,195,195,195
Ventosimonas,1,195,195,0,195,195,195
Mastigocladopsis,1,193,193,0,193,193,193
Owenweeksia,1,193,193,0,193,193,193
Rummeliibacillus,1,190,190,0,190,190,190
Anaerotruncus,1,189,189,0,189,189,189
Salinibacter,1,188,188,0,188,188,188
Dinoroseobacter,1,187,187,0,187,187,187
Simiduia,1,187,187,0,187,187,187
Kineosphaera,1,185,185,0,185,185,185
Melissococcus,1,185,185,0,185,185,185
Shuttleworthia,1,183,183,0,183,183,183
Gynuella,1,181,181,0,181,181,181
Caldimicrobium,1,180,180,0,180,180,180
Gracilibacillus,1,179,179,0,179,179,179
Ponticaulis,1,178,178,0,178,178,178
Shimwellia,1,177,177,0,177,177,177
Desulfospira,1,175,175,0,175,175,175
Allofustis,1,173,173,0,173,173,173
Kushneria,1,173,173,0,173,173,173
Oblitimonas,1,170,170,0,170,170,170
Amphibacillus,1,165,165,0,165,165,165
Anaerostipes,1,165,165,0,165,165,165
Gallionella,1,163,163,0,163,163,163
Thermodesulfobium,1,156,156,0,156,156,156
Neptunomonas,1,152,152,0,152,152,152
Enterorhabdus,1,151,151,0,151,151,151
Fangia,1,151,151,0,151,151,151
Marvinbryantia,1,146,146,0,146,146,146
Timonella,1,144,144,0,144,144,144
Leptonema,1,141,141,0,141,141,141
Succinispira,1,136,136,0,136,136,136
Tomitella,1,135,135,0,135,135,135
Puniceibacterium,1,133,133,0,133,133,133
Methylomarinum,1,131,131,0,131,131,131
Nitratifractor,1,128,128,0,128,128,128
Thermorudis,1,126,126,0,126,126,126
Enorma,1,123,123,0,123,123,123
Hydrogenivirga,1,122,122,0,122,122,122
Sphingorhabdus,1,121,121,0,121,121,121
Thiolapillus,1,121,121,0,121,121,121
Acetohalobium,1,119,119,0,119,119,119
Balneatrix,1,117,117,0,117,117,117
Heliobacterium,1,111,111,0,111,111,111
Halobacteroides,1,107,107,0,107,107,107
Thioalkalimicrobium,1,102,102,0,102,102,102
Litoreibacter,1,101,101,0,101,101,101
Pragia,1,101,101,0,101,101,101
Arenitalea,1,99,99,0,99,99,99
Amycolicicoccus,1,98,98,0,98,98,98
Thermotoga,1,98,98,0,98,98,98
Thermincola,1,97,97,0,97,97,97
Thermosulfurimonas,1,97,97,0,97,97,97
Terasakiella,1,96,96,0,96,96,96
Desulfatiglans,1,94,94,0,94,94,94
Herbiconiux,1,92,92,0,92,92,92
Lentibacillus,1,89,89,0,89,89,89
Nitritalea,1,88,88,0,88,88,88
Wolinella,1,88,88,0,88,88,88
Desulfurispirillum,1,87,87,0,87,87,87
Alkaliflexus,1,86,86,0,86,86,86
Desulfonatronospira,1,85,85,0,85,85,85
Shimazuella,1,85,85,0,85,85,85
Thermosediminibacter,1,85,85,0,85,85,85
Hellea,1,84,84,0,84,84,84
Haloglycomyces,1,83,83,0,83,83,83
Woodsholea,1,83,83,0,83,83,83
Anaerosporomusa,1,82,82,0,82,82,82
Pseudohongiella,1,81,81,0,81,81,81
Sneathiella,1,79,79,0,79,79,79
Propionispira,1,77,77,0,77,77,77
Oscillochloris,1,75,75,0,75,75,75
Desulfurivibrio,1,74,74,0,74,74,74
Sedimentitalea,1,73,73,0,73,73,73
Joostella,1,72,72,0,72,72,72
Siccibacter,1,72,72,0,72,72,72
Geovibrio,1,70,70,0,70,70,70
Ammonifex,1,69,69,0,69,69,69
Paraoerskovia,1,67,67,0,67,67,67
Ornatilinea,1,66,66,0,66,66,66
Reinekea,1,66,66,0,66,66,66
Agarivorans,1,63,63,0,63,63,63
Mesonia,1,63,63,0,63,63,63
Thermosynechococcus,1,61,61,0,61,61,61
Acaricomes,1,60,60,0,60,60,60
Cycloclasticus,1,60,60,0,60,60,60
Yokenella,1,60,60,0,60,60,60
Youngiibacter,1,60,60,0,60,60,60
Limnochorda,1,51,51,0,51,51,51
Robiginitalea,1,50,50,0,50,50,50
Thalassobacter,1,50,50,0,50,50,50
Faecalicoccus,1,48,48,0,48,48,48
Aliiroseovarius,1,45,45,0,45,45,45
Gracilimonas,1,44,44,0,44,44,44
Aeribacillus,1,43,43,0,43,43,43
Balneola,1,42,42,0,42,42,42
Tuberibacillus,1,42,42,0,42,42,42
Marinococcus,1,41,41,0,41,41,41
Paeniglutamicibacter,1,40,40,0,40,40,40
Carnimonas,1,37,37,0,37,37,37
Centipeda,1,35,35,0,35,35,35
Confluentimicrobium,1,35,35,0,35,35,35
Coriobacterium,1,34,34,0,34,34,34
Cryocola,1,34,34,0,34,34,34
Hydrogenobacter,1,34,34,0,34,34,34
Nesiotobacter,1,33,33,0,33,33,33
Obesumbacterium,1,33,33,0,33,33,33
Halolactibacillus,1,31,31,0,31,31,31
Casaltella,1,27,27,0,27,27,27
Hydrogenovibrio,1,26,26,0,26,26,26
Halalkalibacillus,1,25,25,0,25,25,25
Basfia,1,24,24,0,24,24,24
Coprobacter,1,23,23,0,23,23,23
Salinispira,1,23,23,0,23,23,23
Bermanella,1,20,20,0,20,20,20
Dielma,1,14,14,0,14,14,14
Salimicrobium,1,9,9,0,9,9,9
Subdoligranulum,1,9,9,0,9,9,9
Thalassobium,1,9,9,0,9,9,9
Cloacibacillus,1,2,2,0,2,2,2
