Family,Count,Sum,Mean,SD,Median,Max,Min
BS11,5,1061.20033015,212.24006603,87.8879207910898,215.180155,353.73344339,138.55328838
Peptococcaceae 2,3,987.231618,329.077206,0,329.077206,329.077206,329.077206
Thermomonosporaceae,3,969.657024,323.219008,0,323.219008,323.219008,323.219008
Isosphaeraceae,8,963.15233457,120.39404182125,104.771453150743,67.1576994,321.0507782,41.22547828
Mycoplasmataceae,3,940.8524436,313.6174812,0,313.6174812,313.6174812,313.6174812
Planctomycetaceae,8,907.15692623,113.39461577875,91.7345506998852,92.7119632,302.38564205,32.5008896
Nostocaceae,3,904.7752038,301.5917346,0,301.5917346,301.5917346,301.5917346
Koribacteraceae,5,890.692441266,178.1384882532,127.054596785538,134.897480422,338.667755562,39.22972486
Verrucomicrobiaceae,4,792.61093444,198.15273361,85.769499879461,222.179619195,264.20364481,84.04805124
Solirubrobacteraceae,3,644.0895696,214.6965232,0,214.6965232,214.6965232,214.6965232
Alteromonadaceae,3,618.5780022,206.1926674,0,206.1926674,206.1926674,206.1926674
Flammeovirgaceae,3,618.0613674,206.0204558,0,206.0204558,206.0204558,206.0204558
Piscirickettsiaceae,3,616.6035978,205.5345326,0,205.5345326,205.5345326,205.5345326
kpj58rc,3,583.51347198,194.50449066,0,194.50449066,194.50449066,194.50449066
Ectothiorhodospiraceae,3,507.55866324,169.18622108,0,169.18622108,169.18622108,169.18622108
Desulfovibrionaceae,3,475.49059722,158.49686574,0,158.49686574,158.49686574,158.49686574
Alicyclobacillaceae,3,425.94747888,141.98249296,0,141.98249296,141.98249296,141.98249296
Hyphomonadaceae,3,383.9972721,127.9990907,0,127.9990907,127.9990907,127.9990907
Oceanospirillaceae,3,349.082009028,116.360669676,0,116.360669676,116.360669676,116.360669676
Odoribacteraceae,3,271.82507556,90.60835852,1.74046714305346e-14,90.60835852,90.60835852,90.60835852
Listeriaceae,3,252.64840392,84.21613464,0,84.21613464,84.21613464,84.21613464
Helicobacteraceae,3,245.1311652,81.7103884,0,81.7103884,81.7103884,81.7103884
Iamiaceae,3,235.2280182,78.4093394,0,78.4093394,78.4093394,78.4093394
Saprospiraceae,3,171.27364212,57.09121404,8.70233571526732e-15,57.09121404,57.09121404,57.09121404
Caldilineaceae,3,163.53304272,54.51101424,0,54.51101424,54.51101424,54.51101424
Opitutaceae,5,152.456053408,30.4912106816,19.0451453824934,22.13253734,50.818684467,10.277007594
Conexibacteraceae,3,131.76803718,43.92267906,0,43.92267906,43.92267906,43.92267906
0319-6A21,5,124.0721954,24.81443908,11.1262176755923,26.86505514,41.357398464,14.492343328
Syntrophobacteraceae,3,105.23979762,35.07993254,0,35.07993254,35.07993254,35.07993254
Anaerolinaceae,3,96.39521562,32.13173854,0,32.13173854,32.13173854,32.13173854
Fimbriimonadaceae,3,37.526628996,12.508876332,0,12.508876332,12.508876332,12.508876332
Ellin517,3,20.991837012,6.997279004,0,6.997279004,6.997279004,6.997279004
