Family,Count,Sum,Mean,SD,Median,Max,Min
Odoribacteraceae,2,12662,6331,1446.74047430768,6331,7354,5308
Blattabacteriaceae,1,12342,12342,0,12342,12342,12342
Chlorobiaceae,3,10950,3650,5409.69250512448,758,9891,301
Beijerinckiaceae,3,10789,3596.33333333333,4252.54139701583,2108,8393,288
Solirubrobacteraceae,1,10173,10173,0,10173,10173,10173
Anaerolineaceae,3,10131,3377,5188.77066365435,708,9357,66
Anaeromyxobacteraceae,1,10064,10064,0,10064,10064,10064
Ferrovaceae,1,9840,9840,0,9840,9840,9840
Demequinaceae,1,9630,9630,0,9630,9630,9630
Gemmatimonadaceae,2,9014,4507,1603.71817973109,4507,5641,3373
Fervidobacteriaceae,2,8885,4442.5,4642.15601848968,4442.5,7725,1160
Deferribacteraceae,3,8443,2814.33333333333,4036.38827831681,924,7449,70
Myxococcaceae,1,8175,8175,0,8175,8175,8175
Prochlorotrichaceae,1,7972,7972,0,7972,7972,7972
Desulfobulbaceae,3,7652,2550.66666666667,2297.69108744699,2965,4613,74
Labilitrichaceae,1,7440,7440,0,7440,7440,7440
Sporomusaceae,3,7354,2451.33333333333,2443.19183310139,1541,5219,594
Acidimicrobiaceae,4,7279,1819.75,1726.2833631823,1317.5,4251,393
Xanthobacteraceae,4,6723,1680.75,1421.57128441266,1171.5,3756,624
Akkermansiaceae,1,6320,6320,0,6320,6320,6320
Caulobacteraceae,2,6227,3113.5,4285.77420077166,3113.5,6144,83
Sphingomonadaceae,5,5981,1196.2,716.467514964914,1290,2099,121
Thermomonosporaceae,2,5906,2953,963.079435976078,2953,3634,2272
Cardiobacteriaceae,1,5805,5805,0,5805,5805,5805
Holosporaceae,1,5798,5798,0,5798,5798,5798
Phycisphaeraceae,1,5776,5776,0,5776,5776,5776
Sporolactobacillaceae,2,5758,2879,4012.12387645247,2879,5716,42
Verrucomicrobiaceae,2,5398,2699,2626.19458532684,2699,4556,842
Actinospicaceae,1,5084,5084,0,5084,5084,5084
Dermacoccaceae,2,4967,2483.5,3053.9941879447,2483.5,4643,324
Pseudomonadaceae,2,4905,2452.5,3227.94245611659,2452.5,4735,170
Microbulbiferaceae,1,4881,4881,0,4881,4881,4881
Eggerthellaceae,5,4471,894.2,716.475889336131,535,1732,151
Desulfuromonadaceae,1,4245,4245,0,4245,4245,4245
Marinilabiliaceae,4,3981,995.25,917.765901523913,962.5,1970,86
Catabacteriaceae,1,3860,3860,0,3860,3860,3860
Isosphaeraceae,2,3463,1731.5,1150.46273299051,1731.5,2545,918
Nautiliaceae,3,3372,1124,877.985762982521,1001,2057,314
Hahellaceae,2,3349,1674.5,1752.91771056145,1674.5,2914,435
Rhodothermaceae,3,3308,1102.66666666667,1369.36128663451,443,2677,188
Staphylococcaceae,2,3292,1646,138.592929112563,1646,1744,1548
Desulfonatronaceae,1,3218,3218,0,3218,3218,3218
Roseiflexaceae,1,3148,3148,0,3148,3148,3148
Nannocystaceae,1,3146,3146,0,3146,3146,3146
Jonesiaceae,1,3108,3108,0,3108,3108,3108
Algiphilaceae,1,3077,3077,0,3077,3077,3077
Methylophilaceae,3,3048,1016,1035.81417252324,622,2191,235
Kiloniellaceae,1,3002,3002,0,3002,3002,3002
Halieaceae,2,2939,1469.5,505.581348548381,1469.5,1827,1112
Ferrimonadaceae,1,2797,2797,0,2797,2797,2797
Microthrixaceae,1,2446,2446,0,2446,2446,2446
Desulfohalobiaceae,3,2389,796.333333333333,625.256214150114,1045,1259,85
Nitrospinaceae,1,2326,2326,0,2326,2326,2326
Thermonemataceae,1,2326,2326,0,2326,2326,2326
Salinisphaeraceae,1,2319,2319,0,2319,2319,2319
Glycomycetaceae,2,2280,1140,1494.82373542836,1140,2197,83
Rubrobacteraceae,1,2269,2269,0,2269,2269,2269
Orbaceae,1,2186,2186,0,2186,2186,2186
Holophagaceae,1,2071,2071,0,2071,2071,2071
Ardenticatenaceae,1,2020,2020,0,2020,2020,2020
Conexibacteraceae,1,1946,1946,0,1946,1946,1946
Corynebacteriaceae,1,1891,1891,0,1891,1891,1891
