Genus,Count,Sum,Mean,SD,Median,Max,Min
Tateyamaria,2,193.41950148,96.70975074,0,96.70975074,96.70975074,96.70975074
Facklamia,2,193.33645424,96.66822712,0,96.66822712,96.66822712,96.66822712
Pirellula,2,185.4239264,92.7119632,0,92.7119632,92.7119632,92.7119632
Odoribacter,2,181.21671704,90.60835852,0,90.60835852,90.60835852,90.60835852
Brochothrix,2,168.43226928,84.21613464,0,84.21613464,84.21613464,84.21613464
Sulfurimonas,2,163.4207768,81.7103884,0,81.7103884,81.7103884,81.7103884
Methylosinus,2,163.08509192,81.54254596,0,81.54254596,81.54254596,81.54254596
Iamia,2,156.8186788,78.4093394,0,78.4093394,78.4093394,78.4093394
Oligella,2,150.92152684,75.46076342,0,75.46076342,75.46076342,75.46076342
Selenomonas,2,147.08313808,73.54156904,0,73.54156904,73.54156904,73.54156904
Moheibacter,2,144.39635136,72.19817568,0,72.19817568,72.19817568,72.19817568
Clavibacter,2,134.32527568,67.16263784,0,67.16263784,67.16263784,67.16263784
Amphibacillus,2,114.67155076,57.33577538,0,57.33577538,57.33577538,57.33577538
Haliscomenobacter,2,114.18242808,57.09121404,0,57.09121404,57.09121404,57.09121404
Pseudosporangium,2,109.21398392,54.60699196,0,54.60699196,54.60699196,54.60699196
Litorilinea,2,109.02202848,54.51101424,0,54.51101424,54.51101424,54.51101424
Alloscardovia,2,104.30492944,52.15246472,0,52.15246472,52.15246472,52.15246472
Dechloromonas,2,104.14775252,52.07387626,0,52.07387626,52.07387626,52.07387626
Opitutus,4,101.637368941,25.40934223525,17.648064222846,20.27083844,50.818684467,10.277007594
Jannaschia,2,96.24804816,48.12402408,0,48.12402408,48.12402408,48.12402408
Natronobacillus,2,88.57011368,44.28505684,0,44.28505684,44.28505684,44.28505684
Conexibacter,2,87.84535812,43.92267906,0,43.92267906,43.92267906,43.92267906
Chondromyces,2,84.1686848,42.0843424,0,42.0843424,42.0843424,42.0843424
Zoogloea,2,82.34780636,41.17390318,0,41.17390318,41.17390318,41.17390318
Rhodopirellula,2,74.47701236,37.23850618,0,37.23850618,37.23850618,37.23850618
WCHB1-05,2,64.26347708,32.13173854,0,32.13173854,32.13173854,32.13173854
Seohaeicola,2,55.25705648,27.62852824,0,27.62852824,27.62852824,27.62852824
Perlucidibaca,2,52.67010584,26.33505292,0,26.33505292,26.33505292,26.33505292
Anaerostipes,2,50.02636816,25.01318408,0,25.01318408,25.01318408,25.01318408
Herminiimonas,2,37.054551524,18.527275762,0,18.527275762,18.527275762,18.527275762
Defluviicoccus,2,30.101592284,15.050796142,0,15.050796142,15.050796142,15.050796142
Candidimonas,2,29.0101611,14.50508055,0,14.50508055,14.50508055,14.50508055
Bartonella,2,27.213915592,13.606957796,0,13.606957796,13.606957796,13.606957796
Fimbriimonas,2,25.017752664,12.508876332,0,12.508876332,12.508876332,12.508876332
Clostridium XVIII,2,13.994558008,6.997279004,0,6.997279004,6.997279004,6.997279004
Byssovorax,2,9.32970534,4.66485267,0,4.66485267,4.66485267,4.66485267
Phyllobacterium,2,8.528490836,4.264245418,0,4.264245418,4.264245418,4.264245418
